job_title,employee_residence,company_location,experience_level,employment_type,salary_in_usd,salary_log1p
Analyst,US,US,EN,FT,126990,11.751871496787873
Business Intelligence Developer,US,US,MI,FT,110000,11.608244735642321
Data Analyst,US,US,EN,FT,85104,11.351641067242074
Data Operations Analyst,US,US,SE,FT,140000,11.849404844423074
Platform Engineer,US,US,MI,FT,127000,11.751950239425476
Data Modeler,US,US,SE,FT,258700,12.463428233647901
Manager,CA,CA,SE,FT,176000,12.07824495582233
Data Engineer,GB,GB,MI,FT,56962,10.950157213238244
Data Engineer,US,US,SE,FT,154560,11.94834411940471
Data Engineer,US,US,MI,FT,61600,11.028433383156079
Engineer,US,US,MI,FT,123500,11.724004532183379
Software Engineer,US,US,SE,FT,276000,12.52815976788113
Data Architect,US,US,SE,FT,143000,11.870606902224587
Business Analyst,US,US,SE,FT,138100,11.835740580500783
Data Scientist,US,US,MI,FT,133000,11.798111925972618
Software Engineer,US,US,MI,FT,61200,11.021918808236205
Data Engineer,US,US,MI,FT,96400,11.476271853988816
Manager,US,US,SE,FT,340300,12.737585799068283
Data Engineer,US,US,SE,FT,195000,12.180759965737863
Software Engineer,US,US,MI,FT,159000,11.976665770490767
Solutions Engineer,US,US,SE,FT,104000,11.552155793461898
Analyst,US,US,EN,FT,75371,11.23019113224238
Analytics Engineer,GB,GB,SE,FT,75000,11.225256725762893
Manager,US,US,SE,FT,252000,12.437188334739655
Business Analyst,LT,LT,EN,FT,54400,10.904137815028022
Data Analyst,US,US,MI,FT,105320,11.564768108437939
Analyst,US,US,SE,FT,176875,12.083204201073904
Data Analyst,GB,GB,EN,FT,112557,11.631223923329062
Data Operations Analyst,US,US,SE,FT,66000,11.097425172408931
Data Reporting Analyst,US,US,EN,FT,74000,11.211833885608513
Associate,US,US,SE,FT,117800,11.676752039127939
Engineer,US,US,EN,FT,126000,11.744045122410057
Data Analyst,US,US,MI,FT,76230,11.241523483091212
Data Manager,US,US,SE,FT,126000,11.744045122410057
Associate,US,US,MI,FT,216040,12.283223483468564
Solutions Architect,US,US,SE,FT,81500,11.308370569092329
Site Reliability Engineer,US,US,SE,FT,154800,11.949895700065218
Solutions Architect,US,US,SE,FT,205000,12.230770136157428
Data Scientist,US,US,MI,FT,152300,11.933614104849879
Data Scientist,US,US,SE,FT,173430,12.063535104743115
Data Scientist,US,US,SE,FT,169233,12.039037651593869
Account Executive,US,US,EX,FT,300000,12.611541086966115
Data Architect,US,US,SE,FT,87280,11.376888077819869
Research Engineer,US,US,MI,FT,301200,12.615533094955484
Machine Learning Engineer,US,US,SE,FT,360000,12.793862088206213
Data Architect,US,US,SE,FT,265200,12.4882433080258
Machine Learning Engineer,US,US,MI,FT,83000,11.326607934898927
Data Governance Lead,US,US,SE,FT,193032,12.170616437726805
Platform Engineer,US,US,SE,FT,211255,12.260825947182944
Manager,US,US,SE,FT,598287,13.301827522349305
AI Data Scientist,IT,IT,MI,FT,41111,10.624055328672066
Data Manager,FR,FR,EN,FT,67253,11.116231775249151
Associate,US,US,MI,FT,167500,12.02874460037869
Manager,US,US,MI,FT,222300,12.31178759836772
Software Engineer,US,US,SE,FT,304000,12.624786269856633
Data Product Manager,US,US,MI,FT,135000,11.813037464800539
Machine Learning Engineer,US,US,SE,FT,282000,12.549665896013254
Manager,CA,CA,SE,FT,153200,11.939506063682469
Data Analyst,US,US,SE,FT,138000,11.835016210489899
Consultant,US,US,MI,FT,71800,11.181653682515929
Data Visualization Engineer,US,US,MI,FT,720000,13.487007879880162
Machine Learning Engineer,US,US,SE,FT,140000,11.849404844423074
Data Engineer,US,US,SE,FT,197100,12.19147156669466
Data Scientist,NZ,NZ,SE,FT,205670,12.23403308368951
Data Scientist,US,US,SE,FT,95000,11.461642696843066
Software Engineer,US,US,SE,FT,274600,12.523074413969974
Manager,US,US,MI,FT,232300,12.35578922352754
Data Platform Engineer,US,US,SE,FT,220000,12.301387370778713
Research Engineer,US,US,MI,FT,264200,12.484465456074554
Data Engineer,US,US,SE,FT,151500,11.928347504569842
Data Analyst,US,US,EN,FT,60750,11.014538821972666
Engineer,US,US,SE,FT,138900,11.841516728140565
Software Engineer,US,US,SE,FT,246500,12.415121329251784
BI Developer,US,US,MI,FT,109000,11.599112335481124
Manager,US,US,SE,FT,253425,12.44282714618343
Data Engineer,US,US,MI,FT,70000,11.156264806643742
Data Scientist,US,US,MI,FT,247600,12.419573858556635
Manager,US,US,SE,FT,129200,11.769124610238766
Machine Learning Engineer,US,US,SE,FT,96600,11.478344372113902
Data Engineer,US,US,SE,FT,190000,12.154784614286667
Data Scientist,US,US,MI,FT,39600,10.586609649448985
Analytics Engineer,US,US,SE,FT,130500,11.779136168550774
Decision Scientist,US,US,MI,FT,150000,11.918397239722838
Software Engineer,US,US,SE,FT,158400,11.972885071473847
Data Scientist,US,US,MI,FT,167538,12.028971438966101
Data Scientist,US,US,MI,FT,62800,11.047726275896391
Associate,US,US,SE,FT,178000,12.08954444723597
Software Engineer,US,US,SE,FT,100700,11.519911009143941
Engineering Manager,US,US,SE,FT,337000,12.727841176689147
Product Analyst,US,US,SE,FT,115440,11.656514855918896
Research Scientist,US,US,MI,FT,143800,11.876185678347824
Data Scientist,US,US,MI,FT,109000,11.599112335481124
Data Engineer,US,US,SE,FT,180000,12.100717685412471
Software Engineer,US,US,MI,FT,132250,11.792456911128632
Engineer,US,US,SE,FT,289700,12.576604635598223
Site Reliability Engineer,US,US,SE,FT,250000,12.429220196836383
Backend Engineer,US,US,SE,FT,208505,12.24772309678536
BI Developer,GB,GB,EN,FT,55381,10.922009910193475
DevOps Engineer,US,US,MI,FT,284000,12.556733038263905
Engineer,US,US,SE,FT,109200,11.600945499760169
Machine Learning Engineer,US,US,SE,FT,222900,12.31448300568063
Data Analyst,US,US,SE,FT,192500,12.167856627501678
Manager,US,US,SE,FT,132292,11.792774438650351
Software Engineer,US,US,SE,FT,240240,12.389397865152711
Machine Learning Engineer,CA,CA,SE,FT,143000,11.870606902224587
Data Scientist,US,US,SE,FT,95100,11.462694763725304
Python Developer,US,US,EN,FT,52000,10.859018228147887
Data Engineer,US,US,SE,FT,209000,12.250094315624496
Software Developer,LT,LT,MI,FT,47200,10.762170357789895
Business Intelligence Analyst,US,US,MI,FT,150000,11.918397239722838
Analytics Engineer,US,US,SE,FT,100000,11.51293546492023
Head of Data,US,US,EX,FT,224000,12.319405795112926
Software Architect,CA,CA,SE,FT,187000,12.138869243416009
Engineer,AR,AR,SE,FT,95040,11.46206365642664
Developer,CA,CA,MI,FT,110000,11.608244735642321
Data Engineer,US,US,SE,FT,160000,11.982935344196433
Analyst,US,US,EX,FT,132500,11.794345471549745
Business Intelligence Developer,US,US,MI,FT,250600,12.431617311859128
Data Engineer,US,US,SE,FT,91700,11.426288563310505
Data Scientist,US,US,EX,FT,212000,12.264346270624157
Java Developer,CA,CA,MI,FT,75000,11.225256725762893
Data Management Associate,US,US,MI,FT,130000,11.775297421715827
Data Scientist,CY,EE,SE,FT,63701,11.061971238241629
Data Scientist,US,US,MI,FT,114900,11.651826167019166
Software Engineer,US,US,SE,FT,246000,12.413090879946887
Data Engineer,US,US,SE,FT,160000,11.982935344196433
Software Engineer,US,US,SE,FT,240240,12.389397865152711
Data Analyst,US,US,SE,FT,153800,11.943414837983129
Data Engineer,US,US,SE,FT,239000,12.384223015005313
Data Governance Analyst,US,US,MI,FT,100000,11.51293546492023
Data Scientist,US,US,MI,FT,136850,11.826648021712861
Business Intelligence Analyst,US,US,SE,FT,130838,11.781722838700459
Data Governance Specialist,US,US,MI,FT,85000,11.350418300109132
Developer,US,US,MI,FT,151034,11.925266877017824
Data Scientist,US,US,SE,FT,280000,12.54254845357358
Data Management Coordinator,US,US,SE,FT,36000,10.491301994830229
Software Developer,US,US,MI,FT,164000,12.00762780434872
Machine Learning Engineer,US,US,SE,FT,254000,12.445093483000798
Software Engineer,US,US,MI,FT,235000,12.367345048436391
Data Analyst,US,US,SE,FT,107025,11.580827074580801
Data Analyst,US,US,MI,FT,113500,11.63956692643747
Analyst,US,US,EN,FT,83000,11.326607934898927
Manager,US,US,MI,FT,365000,12.807655372286902
Data Engineer,US,US,SE,FT,100406,11.5169872049249
Head of Data,US,US,EX,FT,247500,12.419169901386761
Analytics Engineer,US,US,SE,FT,296400,12.59946854621754
Research Engineer,AT,AT,MI,FT,88888,11.395143679313064
Data Analyst,US,US,SE,FT,62000,11.034905792929415
Research Scientist,US,US,SE,FT,242200,12.397523238911763
Software Engineer,US,US,SE,FT,157600,11.967821801563451
Data Manager,US,US,MI,FT,57800,10.96476135554887
Robotics Engineer,US,US,SE,FT,160000,11.982935344196433
Manager,US,US,MI,FT,75000,11.225256725762893
Data Product Manager,US,US,SE,FT,175500,12.075400019877522
Manager,US,US,SE,FT,175797,12.077090887604223
Software Engineer,US,US,SE,FT,206315,12.237164253007847
Software Developer,US,US,MI,FT,87000,11.373674891823535
Analyst,US,US,EN,FT,93000,11.440365524765756
Engineer,US,US,SE,FT,167200,12.026951960476097
Software Engineer,US,US,SE,FT,214500,12.276069679344003
BI Analyst,IE,IE,EN,FT,44444,10.702007748675776
Machine Learning Engineer,US,US,EX,FT,171000,12.049424683420915
Solutions Architect,US,US,SE,FT,245000,12.409017571151187
Machine Learning Scientist,US,US,SE,FT,169000,12.037659911047468
Engineer,US,US,SE,FT,96800,11.480412603789821
AI Researcher,CY,CY,MI,FT,53333,10.88432930546973
Data Lead,US,US,SE,FT,86000,11.362114203075018
Data Manager,US,US,MI,FT,53357,10.884779198627696
Machine Learning Engineer,US,US,SE,FT,172800,12.059895922372384
Product Designer,US,US,SE,FT,110000,11.608244735642321
Systems Engineer,US,US,SE,FT,105000,11.561725152903833
Data Analyst,US,US,SE,FT,139000,11.842236406331555
Data Scientist,US,US,MI,FT,105920,11.57044881221388
Data Scientist,US,US,EN,FT,168000,12.031725210748633
Data Engineer,BR,BR,SE,FT,72000,11.184435286790631
Analytics Engineer,CA,CA,MI,FT,124933,11.735540876843352
AI Specialist,US,US,SE,FT,179700,12.09904963758644
Data Analyst,CA,CA,SE,FT,87000,11.373674891823535
Engineer,US,US,SE,FT,115000,11.652696102959753
AI Engineer,US,US,EX,FT,142250,11.865348381840844
Software Engineer,US,US,SE,FT,174518,12.069788897218837
Engineering Manager,US,US,SE,FT,212000,12.264346270624157
Software Developer,US,US,MI,FT,67700,11.12285622984002
Data Architect,US,US,SE,FT,187867,12.143494867545447
Data Engineer,CA,CA,MI,FT,100000,11.51293546492023
Data Engineer,US,US,MI,FT,130514,11.779243441668234
Software Engineer,GB,GB,SE,FT,87500,11.37940550085183
Data Analyst,US,US,EN,FT,107757,11.587643251149576
Tableau Developer,CA,CA,MI,FT,115000,11.652696102959753
Data Engineer,US,US,SE,FT,138500,11.83863282480007
Data Analyst,US,US,MI,FT,105500,11.566475710526321
Site Reliability Engineer,US,US,MI,FT,205000,12.230770136157428
Manager,US,US,MI,FT,122500,11.715874472198905
Applied Scientist,US,US,SE,FT,247500,12.419169901386761
Business Intelligence Analyst,US,US,MI,FT,126900,11.751162533892076
Data Analyst,US,US,EN,FT,98000,11.49273296168228
Applied Machine Learning Engineer,IN,DE,MI,FT,70179,11.158818649137206
Manager,US,US,MI,FT,160500,11.986055452062393
Data Engineer,US,US,SE,FT,143712,11.875573534224422
Data Engineer,US,US,MI,FT,73700,11.207771646606407
Engineer,US,US,SE,FT,97000,11.48247656671073
BI Developer,US,US,MI,FT,128000,11.759793355371237
Data Engineer,GB,GB,SE,FT,170000,12.04355959836804
Quantitative Analyst,US,US,MI,FT,250000,12.429220196836383
Engineer,US,US,SE,FT,251600,12.435599778363322
Data Manager,US,US,MI,FT,118765,11.6849104496628
Software Development Engineer,US,US,SE,FT,378700,12.844502254499021
Engineer,US,US,SE,FT,87000,11.373674891823535
Machine Learning Engineer,US,US,SE,FT,190000,12.154784614286667
Data Analyst,US,US,EN,FT,110136,11.60948032438486
Consultant,US,US,EN,FT,162240,11.996838163074047
Data Integration Specialist,LT,LT,EN,FT,29052,10.276877027171807
Machine Learning Engineer,US,US,MI,FT,280700,12.545045324865894
Data Engineer,US,US,SE,FT,185800,12.132431487478716
Analytics Engineer,US,US,MI,FT,155500,11.954407441448915
Software Development Engineer,US,US,SE,FT,183175,12.118202718273533
Associate,US,US,EN,FT,50000,10.819798284210286
Data Analyst,GB,GB,EN,FT,41250,10.627430633893226
Data Engineer,CA,CA,SE,FT,98461,11.497425965923277
Engineer,US,US,MI,FT,129160,11.768814967177327
Data Engineer,US,US,SE,FT,138900,11.841516728140565
Associate,US,US,MI,FT,69600,11.150534214035387
Applied Scientist,US,US,MI,FT,170000,12.04355959836804
Data Quality Analyst,CA,CA,EN,FT,80000,11.289794413577894
Decision Scientist,US,US,MI,FT,150200,11.919729676079623
Data Analyst,US,US,EN,FT,61360,11.024529733170398
Computer Vision Engineer,US,US,SE,FT,235000,12.367345048436391
Data Scientist,BR,BR,EN,FT,19910,9.899027621814035
Data Product Manager,US,US,SE,FT,136038,11.820696888314933
Associate,US,US,MI,FT,93400,11.444657330797734
Data Lead,GB,GB,SE,FT,100257,11.515502142483678
Engineer,US,US,SE,FT,236925,12.37550313507445
Data Analyst,US,US,SE,FT,99000,11.502885230075814
Data Scientist,US,US,MI,FT,86000,11.362114203075018
Solutions Engineer,US,US,SE,FT,150000,11.918397239722838
Engineer,US,US,MI,FT,135400,11.81599602495741
Data Analyst,US,US,EN,PT,82100,11.315705475634307
Data Scientist,US,US,SE,FT,211000,12.259618151783465
Analyst,US,US,SE,FT,172500,12.058158312538197
Systems Engineer,US,US,MI,FT,183000,12.117246896289503
Data Scientist,US,US,EX,FT,300000,12.611541086966115
Analyst,US,US,EN,FT,89430,11.401222657207711
Data Governance,US,US,EX,FT,161450,11.99195697003531
Data Analyst,GB,GB,SE,FT,81250,11.305298407808552
BI Analyst,US,US,SE,FT,135000,11.813037464800539
Manager,US,US,MI,FT,114000,11.643962499267984
Systems Engineer,US,US,SE,FT,163000,12.001511614739405
Data Engineer,US,US,SE,FT,206400,12.237576157539047
Data Scientist,US,US,SE,FT,312200,12.651402490133291
Data Engineer,US,US,SE,FT,205000,12.230770136157428
Manager,GB,GB,SE,FT,100000,11.51293546492023
Analyst,CA,CA,SE,FT,126000,11.744045122410057
Manager,US,US,MI,FT,109000,11.599112335481124
Data Management Lead,US,US,SE,FT,71000,11.170449240431308
Data Analyst,GB,GB,EN,FT,44381,10.700589260815923
Data Scientist,US,US,MI,FT,211180,12.260470864646196
Business Intelligence Developer,US,US,SE,FT,66825,11.109847505354562
Data Engineer,US,US,EX,FT,319050,12.673106243596548
Data Scientist,US,US,SE,FT,136218,11.822019163702441
Research Scientist,US,US,MI,FT,184300,12.124325569579169
Engineer,US,US,MI,FT,63525,11.059204549898388
Statistician,US,US,EX,FT,87280,11.376888077819869
Machine Learning Engineer,US,US,EX,FT,351000,12.768544351446794
Data Engineer,US,US,SE,FT,140179,11.850682590054316
Data Analyst,GB,GB,SE,FT,51898,10.857054801145617
Data Engineer,GB,GB,MI,FT,75949,11.237830508023919
Product Manager,US,US,MI,FT,142000,11.863589378812122
Analyst,US,US,EN,FT,50000,10.819798284210286
Data Scientist,US,US,SE,FT,101400,11.52683823202353
Data Quality Engineer,US,US,SE,FT,111900,11.625369830810577
AI Architect,US,US,SE,FT,195000,12.180759965737863
Data Engineer,US,US,SE,FT,141600,11.860768522363712
Software Engineer,FR,FR,SE,FT,77777,11.261613893828098
Engineer,US,US,SE,FT,64500,11.07443600653965
Research Analyst,US,US,EN,FT,90000,11.407576060361786
Machine Learning Engineer,US,US,MI,FT,185800,12.132431487478716
Data Analytics Lead,US,US,SE,FT,202800,12.219980481653478
Manager,US,US,MI,FT,139905,11.848726047510901
Data Scientist,US,US,SE,FT,95000,11.461642696843066
Systems Engineer,US,US,SE,FT,155500,11.954407441448915
Engineer,US,US,MI,FT,133800,11.80410890048989
Analyst,US,US,EN,FT,85008,11.350512412220255
Data Analyst,US,US,SE,FT,78750,11.274046255019954
Data Analyst,US,US,EN,PT,44956,10.713461756362648
Engineer,US,US,SE,FT,221950,12.310211915771292
Data Scientist,US,US,MI,FT,147900,11.904298410001253
Data Scientist,CA,CA,SE,FT,98500,11.49782197939291
Associate,US,US,MI,FT,320000,12.676079399771027
Product Manager,US,US,MI,FT,238000,12.380030154325457
Data Engineer,US,US,SE,FT,137439,11.830942737218082
Analyst,US,US,EN,FT,120000,11.695255355062795
Data Scientist,US,US,MI,FT,170000,12.04355959836804
Manager,US,US,MI,FT,152053,11.931990999895294
Analyst,SV,SV,EN,CT,16000,9.680406499268875
AI Engineer,US,US,SE,FT,212000,12.264346270624157
Data Engineer,US,US,MI,FT,73600,11.206413891581187
AI Specialist,CA,CA,SE,FT,167300,12.027549864243364
Consultant,US,US,EN,FT,143000,11.870606902224587
Data Specialist,US,US,SE,FT,86840,11.371834139356602
DevOps Engineer,US,US,SE,FT,206300,12.237091546357338
Software Development Engineer,RO,RO,EN,FT,15129,9.624434806782402
Data Analyst,US,US,SE,FT,59833,10.99932934024157
Data DevOps Engineer,NL,NL,EN,FT,47918,10.777267364458066
Cloud Engineer,US,US,SE,FT,110000,11.608244735642321
Data Architect,US,US,SE,FT,206000,12.235636302128867
Research Scientist,US,US,MI,FT,250800,12.432415074973783
Data Engineer,US,US,MI,FT,176720,12.08232749674707
Manager,GB,GB,SE,FT,74683,11.221021158085227
Data Engineer,US,US,SE,FT,277000,12.531776395271262
Data Analyst,US,US,EN,FT,117400,11.67335070422742
Data Scientist,US,US,SE,FT,720000,13.487007879880162
Data Scientist,US,US,MI,FT,107600,11.586185220346932
BI Analyst,US,US,MI,FT,85000,11.350418300109132
Machine Learning Engineer,US,US,SE,FT,232300,12.35578922352754
Business Intelligence Engineer,US,US,SE,FT,159000,11.976665770490767
Applied Scientist,US,US,MI,FT,260000,12.468440756144114
Machine Learning Engineer,US,US,SE,FT,172000,12.055255569732177
Technical Lead,US,US,SE,FT,195600,12.183832149044223
Systems Engineer,US,US,SE,FT,212750,12.267877746777101
Data Scientist,US,US,SE,FT,68195,11.130141191085121
Data Analyst,PH,PH,EN,CT,16000,9.680406499268875
Manager,US,US,SE,FT,128000,11.759793355371237
Consultant,US,US,SE,FT,212000,12.264346270624157
Data Engineer,US,US,SE,FT,257500,12.458778882573533
Data Visualization Engineer,US,US,SE,FT,73100,11.199597325534862
Software Engineer,CA,CA,MI,FT,113846,11.642610720683573
Data Engineer,US,US,SE,FT,142500,11.86710429621008
Data Governance,US,US,EX,FT,125000,11.736077016252437
Data Architect,AU,AU,SE,FT,93400,11.444657330797734
Consultant,US,US,MI,FT,65000,11.082157933374816
Data Analyst,US,US,MI,FT,131000,11.782960235741939
Research Scientist,US,US,SE,FT,148000,11.904974309480183
Manager,US,US,EX,FT,185000,12.128116509451258
Associate,US,US,MI,FT,123000,11.719947764402807
Data Analyst,GB,GB,SE,FT,92350,11.43335181393909
Data Analyst,US,US,SE,FT,245400,12.41064888623027
Analytics Engineer,US,US,SE,FT,123933,11.727504444823051
Software Developer,GB,GB,MI,FT,42888,10.666370661780968
Data Scientist,US,US,MI,FT,141000,11.856522261533737
Analytics Engineer,US,US,SE,FT,104000,11.552155793461898
Data Scientist,US,US,MI,FT,171250,12.05088559552348
AI Software Engineer,US,US,MI,FT,143896,11.876853044847161
Machine Learning Engineer,US,US,SE,FT,216700,12.286273802188468
Data Scientist,US,US,SE,FT,95264,11.464417760905185
SAS Developer,US,US,SE,FT,208672,12.24852371239123
Data Analyst,CA,CA,SE,FT,112000,11.626263078808801
Data Engineer,US,US,MI,FT,77868,11.26278320657256
Data Analyst,US,US,MI,FT,80500,11.296024885689746
Data Analyst,CA,CA,EN,FT,45203,10.71894085748004
Data Analyst,US,US,EX,FT,170760,12.048020197027157
Engineer,US,US,MI,FT,106080,11.571958232222919
Data Analyst,HR,HR,MI,FT,110736,11.614913299527794
Machine Learning Scientist,US,US,SE,FT,193900,12.17510299851502
Software Development Engineer,CA,CA,MI,FT,86000,11.362114203075018
Data Engineer,US,US,SE,FT,210100,12.255343646460032
Data Architect,US,US,SE,FT,85000,11.350418300109132
AI Engineer,US,US,SE,FT,175000,12.07254696717504
Research Associate,GB,GB,MI,FT,44450,10.702142737876844
Data Analyst,US,US,EN,FT,21600,9.980494888896912
Postdoctoral Researcher,FI,FI,MI,FT,49263,10.804948870164282
Data Scientist,US,US,SE,FT,172100,12.055836792757997
Machine Learning Engineer,US,US,SE,FT,340100,12.736997911302637
Software Engineer,US,US,SE,FT,237000,12.37581963951765
Data Manager,US,US,MI,FT,130000,11.775297421715827
Data Engineer,US,US,SE,FT,144082,11.878144801398754
AI Product Manager,US,US,MI,FT,188000,12.144202560946876
Data Scientist,US,US,SE,FT,143000,11.870606902224587
Engineer,US,US,SE,FT,119628,11.692150566022764
Business Intelligence Engineer,CA,CA,MI,FT,124700,11.733674150882164
ETL Developer,US,US,MI,FT,215000,12.278397958261774
Machine Learning Engineer,GB,GB,SE,FT,242500,12.398761113062513
Analytics Engineer,US,US,SE,FT,160000,11.982935344196433
Data Scientist,US,US,SE,FT,115800,11.659628479662329
Software Engineer,US,US,SE,FT,410000,12.923914877701906
Software Engineer,US,US,SE,FT,175100,12.073118229279908
Data Scientist,US,US,MI,FT,153000,11.938199736300925
Engineer,US,US,MI,FT,405000,12.91164481522143
Manager,US,US,EN,FT,72000,11.184435286790631
Data Manager,GB,GB,MI,FT,34387,10.445462945294334
Software Engineer,NZ,NZ,MI,FT,105000,11.561725152903833
Software Engineer,US,US,SE,FT,99500,11.507922973347437
Product Analyst,US,US,EN,FT,98140,11.49416049911715
Product Manager,US,US,SE,FT,156965,11.963784500368277
Data Engineer,PL,PL,MI,FT,60000,11.002116507732017
Platform Engineer,US,US,SE,FT,85300,11.353941456740479
Data Analyst,US,US,EX,FT,188640,12.147601016859776
Business Intelligence,US,US,EX,FT,180000,12.100717685412471
Engineer,US,US,MI,FT,98383,11.49663346819325
Machine Learning Engineer,US,US,EN,FT,218540,12.294728918935627
Data Specialist,US,US,MI,FT,67700,11.12285622984002
Business Intelligence Engineer,US,US,MI,FT,256500,12.45488784222084
Systems Engineer,US,US,SE,FT,250800,12.432415074973783
Solutions Engineer,US,US,MI,FT,100000,11.51293546492023
Quantitative Researcher,US,US,MI,FT,250000,12.429220196836383
Data Scientist,LT,LT,MI,FT,52547,10.869482316589398
Software Engineer,US,US,SE,FT,283990,12.556697826500354
Data Analyst,US,US,SE,FT,136100,11.82115253615114
Data Specialist,US,US,MI,FT,48000,10.778977123006351
Engineer,US,US,SE,FT,157100,11.964644189595829
Software Engineer,US,US,EN,FT,235000,12.367345048436391
Data Analyst,US,US,SE,FT,182700,12.115606215804869
Data Scientist,US,US,SE,FT,183000,12.117246896289503
Machine Learning Engineer,US,US,SE,FT,171903,12.054691460442855
Software Engineer,MT,MT,EN,FT,80000,11.289794413577894
Data Scientist,US,US,EN,FT,155300,11.953120448266079
Research Engineer,US,US,SE,FT,210000,12.25486757159303
Data Engineer,US,US,SE,FT,128000,11.759793355371237
Software Developer,US,US,MI,FT,96800,11.480412603789821
Data Governance Lead,US,US,SE,FT,243500,12.40287632827253
Data Scientist,US,US,MI,FT,126500,11.748005492256807
AI Engineer,US,US,MI,FT,130700,11.780667550692455
Data Analyst,US,US,MI,FT,125000,11.736077016252437
AI Developer,US,US,MI,FT,211300,12.261038936200617
Manager,US,US,SE,FT,170000,12.04355959836804
ML Infrastructure Engineer,US,US,SE,FT,124000,11.728044909070785
Engineer,US,US,SE,FT,218100,12.292713537231938
Product Manager,US,US,MI,FT,160425,11.985588056041706
Engineer,US,US,EX,FT,274800,12.523802478333899
Engineer,GB,GB,SE,FT,69150,11.144047798304321
Data Analyst,CA,CA,SE,FT,112000,11.626263078808801
Software Engineer,US,US,SE,FT,200000,12.206077645517674
Software Engineer,GB,GB,MI,FT,462500,13.044403998094442
Data Analyst,US,US,SE,FT,68040,11.127865743638715
Data Engineer,US,US,MI,FT,85442,11.355604765937148
Business Intelligence,US,US,SE,FT,202800,12.219980481653478
Applied Scientist,US,US,SE,FT,212800,12.268112735686705
Data Architect,US,US,SE,FT,180000,12.100717685412471
Research Associate,AU,AU,MI,FT,145730,11.889517735509276
Software Engineer,US,US,EX,FT,144300,11.87965667474488
Data Scientist,US,US,MI,FT,247200,12.417957049864935
Lead Engineer,US,US,SE,FT,230000,12.345838935721968
Data Analyst,US,US,MI,FT,83300,11.330215832884798
Software Developer,CA,CA,SE,FT,138500,11.83863282480007
Data Analyst,US,US,SE,FT,186000,12.133507329024972
Product Manager,US,US,SE,FT,140000,11.849404844423074
Data Scientist,US,US,SE,FT,129900,11.774527900858468
AI Engineer,US,US,SE,FT,175800,12.077107952499174
Software Engineer,CA,CA,SE,FT,215000,12.278397958261774
Data Architect,US,US,SE,FT,216315,12.284495580541513
Statistician,US,US,MI,FT,85380,11.354878872588175
Postdoctoral Fellow,US,US,MI,FT,73588,11.20625083702549
Analytics Lead,US,US,SE,FT,105000,11.561725152903833
Software Engineer,US,US,SE,FT,218250,12.293401055592842
Data Scientist,US,US,SE,FT,267100,12.49538214300718
Consultant,US,US,MI,FT,160000,11.982935344196433
Data Analyst,GB,GB,SE,FT,110000,11.608244735642321
Data Analyst,CA,CA,EN,FT,59200,10.988693712621323
Solutions Architect,US,US,SE,FT,133000,11.798111925972618
Analyst,US,US,SE,FT,241600,12.39504288410708
Systems Engineer,US,US,MI,FT,425000,12.959846800844963
Data Analyst,US,US,SE,FT,297000,12.601490784782536
Software Engineer,US,US,SE,FT,155555,11.954761074388044
Data Engineer,US,US,SE,FT,282000,12.549665896013254
Data Scientist,US,US,SE,FT,192000,12.165255859329688
Solution Architect,US,US,SE,FT,162950,12.001204821098673
Manager,US,US,MI,FT,240000,12.388398368982115
Analyst,US,US,SE,FT,140000,11.849404844423074
Product Analyst,US,US,SE,FT,141400,11.859355104555387
Data Architect,US,US,SE,PT,93300,11.443586104891608
Machine Learning Engineer,US,US,MI,FT,184900,12.127575825689417
Power BI Expert,ES,ES,SE,FT,157894,11.969685534131221
Machine Learning Engineer,FI,FI,SE,FT,86666,11.369828467476005
Product Manager,US,US,SE,FT,123470,11.723761589662384
Analyst,US,US,EN,FT,59600,10.995427631436174
Data Scientist,US,US,SE,FT,195140,12.181477653174792
System Engineer,US,US,SE,FT,88600,11.391898423211194
Manager,US,US,SE,FT,156400,11.9601785009348
Engineer,US,US,SE,FT,107800,11.588042213851855
Software Engineer,CA,CA,SE,FT,142700,11.868506811148853
Data Specialist,US,US,SE,FT,83960,11.33810768429718
Manager,US,US,MI,FT,210000,12.25486757159303
Solutions Engineer,US,US,SE,FT,185625,12.131489175729977
Data Manager,US,US,SE,FT,124488,11.731972637569852
Manager,US,US,MI,FT,270000,12.506180941677357
Associate,US,US,MI,FT,180000,12.100717685412471
Associate,US,US,MI,FT,98000,11.49273296168228
Software Developer,US,US,SE,FT,261500,12.474193386571581
Data Integrity Specialist,US,US,EN,FT,60000,11.002116507732017
Data Management Analyst,US,US,EN,FT,137000,11.827743504053695
Data Engineer,CA,CA,SE,FT,159000,11.976665770490767
Engineer,US,US,EN,FT,220000,12.301387370778713
Data Analyst,US,US,SE,FT,128800,11.766023856597407
Data Engineer,US,US,SE,FT,110128,11.609407684939793
Engineer,US,US,EX,FT,257000,12.456835254920371
DevOps Engineer,US,US,SE,FT,150000,11.918397239722838
Engineer,US,US,SE,FT,144500,11.881041706925902
MLOps Engineer,US,US,SE,FT,286600,12.565846283553652
Data Scientist,CA,CA,SE,FT,115000,11.652696102959753
Data Scientist,US,US,SE,FT,88700,11.39302644219128
Data Scientist,US,US,SE,FT,172500,12.058158312538197
Software Engineer,US,US,SE,FT,155550,11.954728931106146
