work_year,experience_level_encoded,is_US_company,salary_in_usd
2023,2,1,240000
2024,2,1,304000
2025,1,1,70000
2025,1,1,125000
2024,2,1,58531
2024,2,1,282900
2024,0,1,103785
2024,1,1,174100
2025,2,1,181170
2025,1,1,140000
2024,1,1,182394
2025,2,1,183500
2024,1,1,178000
2024,2,1,234062
2024,0,1,46000
2025,2,1,178200
2025,1,1,84000
2024,0,1,38000
2024,1,1,135283
2024,2,1,142800
2023,1,0,68902
2025,0,1,149400
2025,2,1,187450
2024,1,1,419750
2025,1,0,82142
2024,1,1,195374
2024,3,1,156200
2023,2,1,160000
2024,2,1,211000
2025,1,1,100000
2024,1,1,152204
2025,1,1,138000
2025,1,0,150000
2024,2,1,223500
2025,2,1,200000
2025,1,1,151800
2024,2,1,219200
2024,1,1,124300
2024,2,1,220000
2023,2,1,185900
2025,0,1,112908
2024,2,1,118050
2025,1,1,227000
2025,3,1,366696
2024,1,1,175800
2025,2,1,178000
2024,2,1,163116
2023,2,1,270000
2022,2,1,125000
2023,1,1,130000
2024,2,1,152000
2024,2,1,175100
2024,1,1,221100
2024,2,1,179000
2024,2,1,75600
2024,0,0,48881
2024,3,1,150000
2025,2,1,271000
2024,1,1,102300
2025,2,1,78050
2022,2,1,206699
2024,0,1,106590
2025,0,1,52000
2025,3,1,258750
2025,1,1,178250
2025,2,1,215000
2025,2,1,291800
2024,1,1,166200
2024,1,1,234240
2025,3,1,276000
2024,1,1,91440
2024,2,0,113400
2024,2,1,173004
2024,1,1,125000
2024,2,1,90000
2024,2,1,300000
2024,1,1,69404
2022,1,0,42000
2025,2,1,206000
2022,2,1,161000
2025,0,1,60000
2024,2,1,337300
2023,1,1,130000
2024,1,1,168000
2024,2,1,282200
2025,2,1,214500
2024,1,0,150000
2024,2,1,80000
2024,2,1,87483
2024,1,1,77000
2025,1,1,76600
2024,1,0,212000
2022,1,1,145000
2024,2,1,284280
2025,2,0,60543
2025,2,1,166400
2025,2,1,104860
2025,1,1,82600
2024,0,1,130000
2024,1,0,60000
2025,2,1,101300
2025,2,1,138911
2024,2,1,258600
2024,1,1,100000
2024,1,0,42352
2024,1,1,114557
2025,1,1,136000
2024,2,1,130000
2024,2,1,220900
2024,2,1,121600
2025,2,1,158400
2024,2,0,150416
2025,2,1,133000
2023,1,1,126277
2024,1,1,203280
2024,2,1,150600
2025,2,1,146700
2025,2,1,163695
2025,1,0,101265
2024,1,1,186000
2024,2,1,150000
2025,2,1,250000
2024,0,1,54000
2025,1,1,109500
2024,1,1,109000
2024,0,1,110000
2025,2,0,160000
2024,1,1,158000
2025,2,1,132700
2024,2,0,87550
2024,1,1,163000
2024,2,1,91163
2025,1,1,146500
2022,3,1,175000
2025,2,1,137600
2024,1,0,102500
2024,1,1,113000
2024,2,1,262172
2025,2,1,157000
2024,2,1,120000
2024,0,1,160000
2025,1,1,149183
2025,2,1,204600
2024,0,0,42866
2025,2,1,142000
2025,1,1,164000
2024,2,0,127261
2025,3,1,360000
2024,1,1,132918
2024,2,1,178880
2024,2,1,108750
2023,1,1,125000
2024,1,1,139476
2025,1,1,91536
2024,2,1,70000
2020,3,1,325000
2024,1,1,92500
2024,0,1,143100
2024,1,1,260000
2025,3,1,175000
2025,2,1,211300
2025,1,1,229900
2024,1,1,172000
2025,1,1,400000
2025,2,1,217800
2025,1,0,34810
2025,2,0,101265
2023,2,0,79976
2024,2,1,125000
2024,2,1,128250
2024,1,1,164700
2023,2,1,165000
2025,1,1,115000
2024,2,1,182000
2025,1,1,153000
2024,1,0,53272
2025,1,0,95029
2024,1,1,228000
2025,1,1,124600
2024,2,1,187158
2024,1,1,135000
2024,2,1,59000
2025,2,1,218000
2024,2,1,165000
2024,0,1,252500
2024,2,1,124400
2024,1,1,161625
2024,1,1,155000
2024,2,1,260586
2024,1,1,103600
2024,0,1,185123
2025,2,1,165000
2024,0,1,108800
2024,2,1,147000
2024,0,1,97000
2023,2,0,237400
2022,2,1,63000
2024,2,0,161538
2024,0,1,170000
2025,2,1,57700
2024,1,0,28888
2022,1,1,200000
2025,3,1,142500
2025,0,0,88191
2025,3,1,125000
2024,2,1,93800
2023,2,1,175000
2024,2,1,167692
2025,2,0,66800
2025,1,1,88400
2023,2,1,124600
2025,2,1,105070
2025,1,1,75300
2024,1,1,110300
2025,1,1,82058
2024,1,1,90600
2023,2,1,167310
2025,1,1,225000
2025,2,1,174500
2025,1,1,425000
2024,2,1,146994
2024,2,1,111260
2024,1,1,61000
2024,2,1,105000
2024,1,0,117000
2025,1,0,90000
2024,1,1,148000
2025,2,1,146500
2025,1,1,143000
2024,2,1,184900
2024,2,0,58823
2025,2,1,157000
2024,2,1,186941
2024,1,0,124800
2024,2,1,178700
2024,2,1,107700
2024,1,1,184900
2023,3,1,210000
2024,0,1,59500
2025,2,1,380000
2024,1,1,101300
2025,2,1,162000
2025,2,1,220000
2025,2,1,341243
2024,1,1,70650
2024,1,1,105700
2024,0,1,65500
2025,0,1,150000
2024,2,1,210788
2024,1,0,110000
2024,1,1,138500
2023,2,1,239748
2024,1,1,202233
2025,1,1,65600
2023,1,1,85000
2024,1,1,170100
2024,1,1,125000
2025,1,1,115600
2024,2,1,104000
2025,2,1,96600
2024,2,1,187000
2025,2,1,178090
2024,2,1,138500
2024,2,1,128656
2024,1,1,200000
2024,1,1,70000
2025,1,1,117300
2024,1,1,80500
2025,2,1,188100
2023,2,1,110000
2024,1,1,235400
2024,2,1,273700
2023,2,1,147100
2024,1,0,276760
2024,2,1,67200
2025,3,1,383910
2024,1,1,125000
2024,1,1,184662
2024,1,1,139400
2024,2,1,139360
2021,0,0,20000
2024,2,0,115000
2024,2,1,178250
2024,2,1,273000
2024,2,1,125100
2025,2,1,198750
2023,1,1,145000
2024,1,1,270000
2024,2,1,203275
2024,2,1,296000
2023,2,1,167500
2025,1,1,148000
2025,0,1,64000
2024,2,1,250200
2025,0,1,90000
2025,2,1,280000
2024,1,1,200000
2024,1,1,240500
2025,2,0,91000
2024,1,1,186956
2025,2,1,237908
2025,2,1,119800
2025,2,1,120000
2025,1,1,143100
2024,2,1,312200
2025,1,1,122000
2024,2,1,137600
2025,2,1,210706
2024,1,1,139360
2024,2,1,121500
2023,0,1,47423
2024,2,1,192700
2025,2,1,96390
2024,0,0,76546
2023,2,1,116960
2024,0,1,200875
2024,0,1,235410
2024,1,1,195500
2024,2,1,199200
2024,2,1,110100
2024,2,1,312200
2025,1,1,70600
2025,1,1,150400
2024,2,1,144000
2024,1,1,62395
2024,2,1,128800
2024,2,1,76848
2024,3,1,101000
2024,1,0,154300
2024,2,0,140000
2023,0,0,177177
2025,1,1,130000
2025,1,1,296300
2022,0,1,140250
2022,2,1,110000
2024,1,1,85000
2022,2,1,140100
2024,1,1,68000
2025,2,1,164000
2024,1,1,75650
2025,2,1,138500
2025,2,1,183000
2024,0,1,291340
2024,2,1,54525
2023,1,1,258000
2024,2,1,339250
2025,2,1,130500
2024,1,1,86320
2024,2,1,72473
2024,1,0,140000
2024,2,1,204500
2025,2,1,192000
2025,2,1,148000
2024,1,1,136000
2025,2,1,398500
2024,1,1,133903
2025,2,0,96600
2024,1,1,96250
2024,0,1,720000
2024,1,1,240240
2025,3,1,125760
2024,1,1,63260
2024,1,1,82764
2025,1,1,156000
2023,2,1,308000
2024,2,1,128000
2024,2,1,188000
2024,2,1,161788
2024,2,1,257600
2025,2,1,123200
2023,1,0,369120
2025,0,1,44000
2025,1,1,212600
2024,3,1,173000
2024,1,1,109100
2024,0,1,44956
2024,2,1,164000
2023,2,1,157550
2024,2,1,294000
2024,1,1,142800
2024,1,1,131596
2025,2,1,134438
2025,2,0,140920
2024,0,0,52000
2024,1,1,379620
2021,0,0,16228
2025,1,0,31578
2025,2,1,158000
2024,1,1,138500
2025,2,1,164780
2025,2,1,297000
2024,1,1,65600
2024,1,1,65000
2025,2,1,135700
2024,1,1,172100
2024,2,1,100700
2025,2,1,500000
2024,2,1,96600
2025,2,0,154736
2024,1,1,85000
2023,0,1,85000
2022,2,1,167000
2023,1,0,102200
2024,0,1,84000
2024,1,1,145000
2024,2,1,151300
2025,0,1,78300
2024,1,1,150000
2024,2,1,195500
2024,1,1,66500
2025,2,1,155542
2024,2,1,157000
2023,2,0,70000
2025,3,1,186626
2024,2,1,211920
2024,1,1,80000
2025,2,0,93611
2025,2,1,355000
2025,2,1,136190
2024,1,1,80420
2025,2,0,104650
2025,2,1,140000
2025,1,0,129800
2024,1,1,166000
2025,0,1,97776
2024,2,1,126400
2023,1,1,90000
2024,1,1,248700
2024,2,1,183700
2025,1,1,115000
2024,2,1,187000
2022,2,1,160000
2025,1,1,104000
2025,2,1,175000
2024,3,0,206200
2025,2,1,242000
2024,2,1,86840
2024,2,1,118267
2025,1,1,135000
2024,1,1,170000
2024,2,0,81600
2024,1,1,128000
2024,1,1,99400
2022,0,0,83171
2025,0,1,40000
2024,1,0,74270
2024,2,1,145400
2024,2,1,136600
2024,2,1,149240
2024,1,1,90000
2025,1,1,350000
2023,1,0,73824
2025,2,1,240000
2024,0,1,51810
2025,0,1,145000
2022,3,1,224000
2024,2,1,132000
2024,2,1,94640
2024,2,1,221000
2024,2,1,292000
2025,1,1,158500
2025,1,1,52000
2025,2,1,173100
2024,1,0,36000
2025,1,0,123800
2024,1,1,149200
2024,0,1,160000
2023,2,1,198200
2024,2,1,345000
2024,2,1,105100
2024,0,0,31250
2024,1,1,234000
2024,2,1,84500
2025,1,1,124950
2024,2,1,156800
2024,1,1,190000
2023,2,1,140900
2025,0,1,84600
2024,2,1,170000
2023,2,1,200000
2024,2,1,162000
2024,2,1,208300
2024,1,1,141300
2023,1,0,120000
2024,2,0,140000
2024,1,1,217476
2024,2,1,130300
2024,1,1,500000
2025,1,1,246200
2025,1,1,124000
2025,2,1,82000
2024,0,0,64000
2025,2,1,266000
2025,2,1,135700
2023,0,0,57223
2025,2,1,179098
2024,1,1,176000
2025,1,1,156310
2024,1,1,117300
2025,2,1,91400
2024,1,1,112100
2024,2,0,100000
2024,0,1,158000
2025,2,1,162000
2024,2,1,225000
2024,1,1,284900
2024,1,1,120000
2024,2,1,249600
2025,2,1,169340
2025,1,1,82100
2025,2,1,213000
2024,2,1,155000
2024,2,1,135200
2025,1,1,100000
2024,2,1,194000
2024,2,1,188885
2024,2,1,312000
2024,2,1,177632
2024,2,1,184000
2023,2,1,184700
2025,2,1,130295
2025,2,1,233600
2024,1,1,187268
2023,2,1,104000
2024,2,1,136850
2024,2,1,185000
2024,2,1,220000
2025,2,1,214087
2023,1,0,38868
2024,1,1,150000
2024,2,1,220000
2025,3,1,262500
2024,2,1,243400
2024,1,1,169000
2025,2,1,164000
2024,2,1,125000
2025,2,1,86000
2024,2,1,77000
2024,2,1,189000
2025,2,1,130000
2024,0,1,164000
2023,2,1,257000
2025,0,1,90000
2021,1,1,160000
2025,2,1,214000
2025,0,0,31578
2024,1,1,136800
2025,2,0,139240
2023,2,1,193200
2024,2,1,232900
2024,2,1,221950
2025,0,1,204600
2024,2,1,146000
2024,2,1,102500
2024,1,1,100000
2024,2,0,41333
2025,1,1,176490
2023,2,1,137500
2024,3,0,105452
2024,2,1,97100
2025,1,1,41500
2023,2,1,175000
2022,2,1,128875
2024,0,0,66924
2024,0,1,75600
2025,1,1,124300
2023,1,1,145000
2024,2,1,204360
2025,2,0,140000
2025,2,1,222000
2023,1,1,121000
2024,1,1,154800
2025,3,1,350000
2024,2,1,73000
2024,1,1,182400
2025,0,0,56962
2024,1,1,220000
2024,1,1,148045
2025,2,1,140700
2023,1,1,100000
2025,2,1,190137
2024,1,1,112600
2024,1,1,65000
2025,3,1,258750
2024,1,1,46000
2024,2,1,333913
2021,1,0,28369
2025,2,1,172000
2023,3,1,70000
2025,2,1,465000
2025,1,1,124176
2025,1,1,162000
2024,0,0,66666
2025,1,1,220000
2025,2,1,135300
2025,2,1,145000
2025,1,0,119000
2024,0,1,100000
2024,1,1,55000
2024,1,1,108750
2024,2,0,244400
2024,2,1,92500
2023,1,1,162000
2024,2,0,90000
2025,2,0,65696
2024,1,1,66800
2024,2,1,161200
2025,3,1,186900
2024,2,0,175000
2024,2,1,324500
2023,2,1,287700
2022,0,1,80000
2024,2,1,120000
2024,2,1,165000
2023,2,1,120500
2024,1,1,250200
2025,2,1,154412
2024,2,1,184300
2023,2,1,132000
2025,1,1,230000
2025,2,1,193000
2025,0,1,85760
2023,2,1,269500
2025,0,1,42000
2024,2,1,155200
2025,1,0,107682
2025,1,0,84000
2025,0,1,105914
2025,2,1,186000
2025,1,1,85000
2024,2,1,220842
2024,2,1,156500
2025,2,1,103400
2025,2,1,116438
2024,2,1,157500
2025,0,1,46800
2025,1,1,115400
2025,2,1,80500
2025,2,1,117800
2025,2,1,133859
2024,1,1,69329
2024,1,0,58888
2023,2,1,190000
2023,2,1,86000
2022,1,1,80000
2024,1,1,55000
2022,1,1,230000
2025,1,0,89473
2025,0,1,106300
2025,2,1,190000
2024,2,1,265200
2024,2,1,117400
2023,2,1,105200
2023,0,1,50000
2025,2,1,136925
2025,1,1,97000
2024,2,1,312200
2025,3,1,150000
2024,1,1,100000
2024,2,1,155600
2024,2,1,110100
2024,2,1,209000
2025,2,1,237500
2025,2,1,267162
2024,1,1,194000
2024,2,1,155376
2025,2,1,170000
2025,3,1,280000
2025,2,1,99400
2024,2,1,109200
2022,2,1,235000
2025,2,1,165000
2022,2,1,154545
2023,3,1,250000
2025,2,1,193000
2023,1,1,181500
2024,2,1,206800
2025,2,1,301320
2024,0,1,46000
2024,2,0,201600
2023,2,1,250000
2025,2,1,67681
2024,1,1,93000
2023,2,1,210000
2024,1,1,163000
2025,2,1,118450
2024,2,1,101844
2023,2,1,93300
2024,2,1,96038
2024,0,1,78600
2023,0,0,60207
2023,2,1,160000
2025,2,1,108800
2025,2,1,180000
2024,1,1,105000
2024,2,1,157322
2023,2,1,170000
2022,2,1,272550
2025,0,0,36526
2025,2,1,278900
2024,0,1,92700
2025,1,1,111000
2024,2,1,111260
2024,1,1,64000
2024,1,1,117300
2025,0,1,95680
2024,2,1,150000
2024,2,1,131000
2025,0,1,37000
2025,1,1,200000
2025,2,1,500000
2024,2,1,170000
2022,2,1,90000
2024,1,1,99996
2024,2,1,105100
2024,2,1,152400
2025,1,1,75670
2024,2,1,207900
2024,2,1,125000
2024,0,1,96000
2024,2,1,68000
2025,2,1,167800
2025,1,0,134865
2023,1,1,105380
2024,2,1,25000
2024,2,1,161500
2025,2,1,111100
2024,2,1,185000
2024,1,0,66447
2022,2,1,110000
2022,0,0,67000
2024,1,1,144800
2024,2,1,131000
2024,1,1,183600
2023,2,0,90000
2024,1,1,252000
2024,2,1,112800
2024,1,1,168888
2025,2,1,175000
2025,1,1,370000
2024,2,1,231000
2024,1,1,67200
2025,1,1,153200
2024,2,1,276000
2024,2,1,145537
2024,0,0,95000
2025,2,1,187950
2025,2,1,111843
2023,2,1,233000
2024,2,1,129400
2025,2,1,115000
2025,1,1,97000
2024,1,1,252800
2024,1,1,252000
2025,1,1,93556
2025,2,0,100000
2024,2,1,144600
2025,1,1,135148
2024,1,1,135000
2025,2,1,159000
2025,0,0,56300
2023,2,1,239000
2025,2,1,229000
2024,2,1,151800
2022,1,0,63040
2024,2,1,76000
2024,1,0,81250
2025,1,1,118000
2024,3,1,300000
2024,0,0,56250
2025,2,1,132000
2025,3,1,282500
2024,1,1,330146
2024,2,1,146875
2024,2,1,238650
2024,1,1,121586
2024,2,1,136000
2024,2,1,52488
2025,1,1,135000
2024,1,1,188100
2024,1,1,176000
2025,1,1,100082
2024,3,1,158800
2024,2,1,223000
2025,3,1,220000
2025,2,1,140000
2025,2,1,384000
2025,1,0,196202
2025,2,0,212000
2025,3,1,480328
2024,2,1,223000
2023,1,1,116000
2025,2,1,111100
2024,2,1,210000
2024,2,1,173650
2025,2,1,125000
2024,3,0,29706
2024,2,1,230000
2023,0,1,67500
2024,1,1,50000
2024,2,1,139000
2025,2,1,250200
2023,1,1,186000
2024,2,1,226800
2025,1,1,111000
2024,2,1,125600
2024,1,1,80000
2025,0,1,60000
2024,0,0,104197
2024,0,1,47840
2024,2,1,297100
2024,2,1,260400
2024,0,1,123000
2024,2,1,124000
2024,1,0,83576
2024,1,1,132500
2024,2,0,86666
2024,1,1,135200
2025,2,1,234240
2024,2,1,305000
2025,1,1,150995
2023,2,1,178492
2024,2,1,165000
2024,3,0,101700
2024,2,1,97500
2024,3,1,230000
2023,0,0,36912
2025,0,1,208800
2025,1,1,87000
2024,3,0,120000
2025,1,1,750000
2025,1,0,71578
2024,2,1,77000
2024,2,1,167000
2024,1,1,75000
2024,2,1,91000
2024,2,1,184000
2024,0,1,58000
2024,2,1,152600
2023,1,1,179000
2025,1,1,85000
2025,2,1,116000
2025,1,1,180959
2024,2,1,102900
2025,1,1,103826
2025,2,0,144900
2023,2,1,101570
2024,2,1,96560
2025,1,1,155000
2023,1,1,152375
2025,1,1,63500
2025,1,1,89300
2024,0,1,66000
2024,2,1,196000
2025,2,1,140000
2024,1,1,124800
2024,2,1,335000
2024,1,1,100000
2024,1,1,138300
2025,1,1,172000
2025,2,1,142320
2023,2,1,250000
2025,2,1,142800
2024,2,0,57777
2024,0,0,18000
2024,1,1,207600
2024,1,1,49000
2025,0,1,135000
2024,2,1,124800
2024,2,1,154000
2024,2,1,288000
2025,2,1,138260
2023,2,1,153088
2023,2,0,157000
2024,1,1,72150
2025,1,1,30000
2025,2,1,120000
2024,2,1,235000
2024,2,1,188750
2025,1,0,112690
2024,2,1,130000
2025,2,1,233200
2025,2,1,134500
2024,1,1,230000
2025,0,1,43200
2024,2,1,184700
2024,0,1,47840
2024,2,1,157000
2025,2,1,178100
2023,1,1,95000
2025,2,1,134550
2024,2,1,137600
2024,1,1,284900
2024,1,1,110000
2025,1,1,209000
2024,1,1,269640
2024,0,1,40000
2025,1,1,57800
2024,1,1,48000
2025,2,0,85714
2025,2,1,107657
2025,1,1,120000
2024,0,0,115000
2025,0,1,137000
2025,1,1,79175
2025,1,1,153925
2024,0,0,35555
2024,3,1,300000
2024,1,0,75000
2024,2,1,310000
2025,2,1,225400
2022,3,1,222640
2025,2,1,126000
2025,2,1,191840
2025,2,1,170500
2024,1,1,245000
2024,3,1,203800
2024,1,1,112000
2025,2,1,200000
2025,2,1,204000
2024,2,0,120000
2024,0,1,48000
2024,1,1,120470
2024,2,0,122000
2022,2,1,153600
2024,1,1,177100
2024,1,1,130000
2024,2,1,235000
2024,1,1,170000
2024,2,1,95000
2024,1,1,124000
2025,0,1,145537
2023,2,0,143000
2024,1,1,160000
2024,1,1,256000
2025,2,1,89040
2024,2,1,103700
2024,1,0,125000
2024,1,0,120000
2025,2,0,132513
2024,2,1,164000
2025,2,1,171000
2025,2,0,84210
2024,1,1,230600
2024,0,0,43750
2024,2,1,167400
2024,0,1,61800
2024,2,1,179000
2024,2,1,162563
2024,2,0,150000
2023,2,0,38868
2025,1,1,147900
2024,2,1,115100
2024,0,1,130400
2024,2,1,294000
2024,1,1,150000
2022,2,1,100800
2025,2,1,226900
2025,2,1,272000
2023,1,1,120000
2024,2,1,153374
2025,2,1,86990
2024,1,1,86000
2024,1,1,72320
2025,1,0,177367
2025,1,1,140200
2024,2,0,51400
2024,2,1,251500
2025,2,1,259000
2024,2,1,137972
2024,1,1,60900
2024,1,1,145000
2023,2,1,139500
2024,3,1,200000
2025,2,1,170000
2023,2,1,142600
2024,2,1,230000
2025,2,1,148230
2025,0,1,154000
2024,2,1,179000
2024,0,0,50000
2024,2,1,154000
2023,2,1,162540
2025,0,1,199000
2024,1,1,180000
2024,2,0,210000
2024,2,1,85500
2025,2,1,212000
2025,1,1,91000
2025,2,1,416000
2024,1,1,84000
2024,0,1,150000
2024,2,1,108000
2025,2,1,190000
2024,2,1,107658
2024,1,1,95000
2024,1,1,164000
2025,2,1,77500
2024,2,1,200000
2024,2,1,289700
2024,1,1,128400
2024,1,0,35000
2024,2,0,167000
2024,2,1,115605
2025,2,1,215800
2024,1,1,187000
2025,2,1,118000
2025,2,1,333000
2024,2,1,144000
2024,3,1,144300
2024,2,1,129800
2024,2,1,135000
2024,2,1,191061
2023,2,1,210000
2025,2,1,305600
2025,2,1,216000
2025,1,1,169000
2024,2,1,77000
2024,0,1,44850
2024,1,0,49533
2024,1,1,178000
2024,1,1,93101
2025,2,1,104000
2025,0,1,68000
2025,2,1,142800
2024,3,1,300000
2024,2,0,87222
2023,2,1,124400
2024,1,0,68500
2024,1,1,52853
2024,2,0,31200
2025,1,1,162000
2025,1,1,85000
2024,2,1,329334
2025,2,1,151800
2024,1,1,138225
2024,2,1,304750
2025,0,0,44303
2025,2,1,90300
2023,2,1,122900
2025,1,0,55162
2024,2,1,290200
2024,2,1,194000
2023,2,1,110600
2024,2,1,130000
2024,2,1,251000
2024,2,1,180000
2024,1,1,153000
2024,3,1,425800
2024,2,1,164000
2025,0,1,242000
2024,1,1,88000
2025,2,1,286000
2025,2,1,253000
2024,1,1,200400
2024,3,1,200000
2024,2,0,228000
2023,1,0,42030
2024,2,0,106512
2024,0,1,84398
2023,2,1,354200
2025,2,1,115400
2023,2,1,109500
2025,1,1,190000
2023,2,1,163000
2025,2,1,84000
2023,2,1,173000
2024,2,0,65300
2025,2,0,172000
2024,2,1,246000
2023,1,0,287500
2024,1,1,143750
2025,1,1,87741
2025,2,1,173000
2023,1,1,125000
2025,0,1,59000
2025,2,1,139597
2025,2,1,100900
2024,2,1,171350
2025,2,1,60792
2024,1,1,138000
2025,1,0,78315
2024,2,1,147000
2024,2,1,241600
2024,2,1,128500
2024,2,1,209700
2023,2,1,241000
2025,2,1,110000
2024,2,1,185000
2024,2,1,180600
2024,1,1,182000
2025,1,1,87000
2023,1,0,92280
2024,0,1,104000
2022,2,1,164000
2025,1,1,71727
2025,1,1,143100
2024,1,1,159100
2025,2,1,142000
2024,1,1,97344
2024,2,1,189000
2024,2,1,174800
2024,2,1,192500
2024,2,1,64300
2025,1,1,127000
2024,2,1,389500
2024,1,1,139809
2024,2,1,199800
2024,2,1,237500
2022,0,0,34672
2023,1,1,52100
2022,2,1,210000
2024,1,1,185000
2025,2,0,230000
2025,2,1,294000
2024,0,1,106100
2023,2,0,62442
2024,2,1,204000
2024,2,1,158950
2024,1,1,220000
2024,2,0,153000
2022,2,0,82477
2024,1,1,130680
2025,2,1,110400
2025,1,1,128400
2024,2,1,177700
2024,0,1,131100
2024,2,1,150000
2024,2,1,209500
2025,0,1,143000
2022,2,1,110925
2024,3,1,144200
2023,1,1,235000
2024,1,0,68200
2024,1,1,132000
2023,1,0,60462
2025,2,1,185250
2024,2,1,236000
2024,1,1,385000
2025,0,1,76128
2024,2,1,222000
2024,2,1,217400
2023,2,1,170000
2025,0,1,100791
2024,2,1,204800
2025,0,1,110000
2025,2,1,151300
2025,1,1,55500
2024,0,1,61650
2024,1,0,102000
2024,2,1,170100
2025,2,1,138000
2025,0,1,79310
2024,1,1,103000
2024,2,1,185000
2024,2,1,145700
2024,2,1,301600
2024,2,1,196100
2024,2,1,224300
2024,0,1,175633
2024,1,1,164509
2024,0,1,86000
2024,2,1,54500
2024,2,1,141000
2024,2,1,80500
2025,2,1,250000
2023,2,1,190100
2025,2,1,156200
2024,1,1,167000
2024,1,1,185000
2025,2,1,85125
2024,2,1,69230
2024,1,1,86500
2024,2,1,227299
2024,1,1,90000
2025,2,1,226408
2024,1,0,30000
2024,2,1,76119
2025,2,1,120000
2024,1,1,161500
2025,2,1,124200
2023,0,1,74300
2023,2,1,293000
2023,1,1,217000
2024,2,1,126600
2025,0,1,106260
2024,1,1,122200
2024,0,0,124038
2024,2,0,50000
2024,2,1,64974
2025,2,1,110000
2023,2,1,117100
2025,2,0,237000
2024,1,1,222200
2024,2,1,234000
2024,2,1,185400
2024,1,1,55631
2023,2,1,161000
2025,2,1,190800
2025,1,1,115000
2025,1,1,63300
2023,2,1,292000
2025,2,1,130000
2025,1,1,158200
2024,0,1,144600
2025,2,1,128600
2025,0,1,75000
2024,0,1,220000
2025,1,1,107000
2024,2,1,67060
2024,3,0,150000
2023,2,1,166000
2025,2,0,189873
2025,2,0,54736
2025,1,0,130000
2025,2,1,55176
2024,2,1,176446
2024,2,1,179101
2024,2,1,156550
2024,1,0,24820
2025,2,1,112300
2024,1,1,195474
2025,2,1,113200
2025,2,1,269000
2024,0,1,234000
2024,2,1,265080
2024,2,0,124000
2024,3,1,143244
2024,1,1,149300
2024,2,0,70666
2024,2,1,161450
2024,1,1,140000
2024,2,1,306000
2024,1,1,220900
2025,2,1,184100
2024,1,0,79545
2024,1,1,120000
2024,1,1,95000
2024,3,1,374350
2025,2,1,95800
2024,1,1,113000
2025,3,0,183544
2025,2,0,75789
2024,1,1,70300
2024,1,1,47586
2024,0,1,114400
2024,3,1,175000
2025,2,1,186754
2024,1,1,112000
2024,2,1,84500
2024,1,1,73819
2025,1,1,70000
2024,2,1,118200
2024,1,0,45028
2024,2,0,55000
2024,1,1,145307
2025,2,1,127000
2024,2,1,159000
2024,2,1,333000
2024,2,1,190000
2024,2,1,139600
2024,2,1,223000
2024,1,1,170000
2024,2,1,151700
2024,0,1,74100
2024,0,1,225500
2022,1,1,175000
2024,2,1,300000
2025,1,1,79000
2025,1,0,245000
2025,1,1,50000
2025,2,1,150000
2023,2,1,107400
2025,1,1,150400
2024,2,1,72150
2024,1,1,75000
2025,1,1,87000
2023,1,1,192000
2024,2,1,303400
2025,3,1,155000
2025,1,1,60840
2023,2,1,141600
2024,2,1,157500
2025,2,1,206000
2024,1,1,308000
2024,2,1,223900
2024,2,1,118450
2024,1,1,86424
2025,1,1,164000
2024,2,1,286000
2024,2,1,176000
2025,2,1,185000
2024,2,0,100000
2023,2,1,263100
2025,2,1,210000
2023,2,1,104000
2025,2,1,211000
2024,1,1,160000
2025,1,1,323000
2025,0,1,175000
2024,0,1,132300
2024,1,1,65900
2025,0,1,131906
2025,2,1,73400
2023,1,1,310000
2024,2,1,115590
2025,2,1,222000
2024,2,1,138800
2025,2,0,632911
2024,3,1,248000
2021,1,0,116914
2024,1,0,149500
2024,2,1,85000
2025,1,1,150100
2025,2,0,101265
2025,2,1,87000
2024,2,1,324000
2024,1,1,222500
2025,2,1,260000
2023,2,0,148500
2025,2,1,207800
2025,3,1,122000
2025,2,1,180000
2024,0,1,103440
2025,1,1,115000
2025,2,1,105000
2024,2,1,176720
2024,1,1,85000
2024,1,0,108888
2024,2,1,159000
2025,2,1,188700
2024,1,1,56900
2025,2,1,66000
2024,1,1,251600
2025,1,1,170000
2025,3,1,239900
2025,1,1,97000
2025,2,0,159493
2024,2,1,69400
2024,2,1,172700
2025,2,1,84604
2025,1,1,120000
2024,1,1,117120
2024,0,0,60000
2025,0,1,43680
2024,2,1,95264
2024,2,1,199000
2025,2,1,308700
2025,2,1,290180
2024,2,1,195000
2025,2,1,262600
2024,2,0,150000
2025,2,1,89000
2022,1,1,63900
2024,1,1,94000
2024,1,1,208000
2025,1,1,141000
2024,2,1,147700
2024,2,1,82560
2024,0,1,145500
2024,1,0,126000
2025,2,1,85000
2024,2,1,178560
2024,1,1,108000
2023,1,0,73824
2024,2,1,220000
2024,3,1,292500
2024,2,1,131712
2024,2,1,330764
2024,2,1,235000
2025,1,1,283400
2024,2,1,114000
2023,1,0,36000
2024,1,1,365000
2025,1,1,233000
2025,2,0,130000
2025,2,1,324000
2025,0,1,154000
2024,2,1,176000
2022,2,1,136000
2023,1,1,125000
2025,0,1,70000
2024,3,1,170000
2024,2,1,500000
2024,2,0,120000
2025,1,1,405000
2024,0,1,177777
2025,2,1,79601
2024,2,1,97100
2023,2,1,115000
2024,1,1,159100
2024,0,1,168090
2024,2,1,107000
2024,1,1,79400
2024,2,1,170375
2024,1,1,128600
2024,1,1,122200
